EX,IT,EVALUATIONS,BEST_F,AVERAGE_F,BEST_DEPTH,AVERAGE_DEPTH,BEST_SIZE,AVERAGE_SIZE,BEST_AGE,AVERAGE_AGE 
18,23,0,5.0,4.03125,3,3.0,5,5.125,7,3.90625
18,24,0,4.0,4.0,3,2.96875,5,5.0625,2,3.53125
18,25,0,4.0,4.0,2,2.9375,3,4.875,4,3.71875
18,26,0,5.0,4.0625,4,2.96875,7,4.9375,2,4.0625
18,27,0,5.0,4.0625,2,2.90625,3,4.8125,3,3.9375
18,28,0,5.0,4.03125,2,3.125,3,5.3125,2,4.5
18,29,0,5.0,4.125,3,3.34375,5,5.6875,5,3.9375
18,30,0,5.0,4.21875,4,3.1875,7,5.4375,3,3.9375
18,31,0,5.0,4.25,5,3.1875,9,5.4375,4,3.78125
18,32,0,5.0,4.09375,3,3.40625,5,6.0,9,4.3125
18,33,0,5.0,4.09375,3,3.375,5,5.875,3,4.59375
18,34,0,5.0,4.09375,4,3.5,7,6.3125,2,4.21875
18,35,0,5.0,4.21875,3,3.5625,5,6.375,3,3.84375
18,36,0,5.0,4.125,3,3.59375,5,6.3125,10,3.3125
18,37,0,5.0,4.1875,6,3.8125,11,6.8125,6,3.4375
18,38,0,5.0,4.125,4,3.84375,7,6.875,3,3.625
18,39,0,5.0,4.25,5,3.96875,9,7.0,3,3.96875
18,40,0,5.0,4.1875,3,3.96875,5,7.0625,3,4.34375
18,41,0,5.0,4.21875,6,3.96875,11,6.9375,4,4.53125
18,42,0,5.0,4.15625,4,4.0,7,7.125,2,3.5
18,43,0,5.0,4.3125,4,4.0625,7,7.25,3,3.4375
18,44,0,5.0,4.15625,4,3.96875,7,7.0625,5,3.625
18,45,0,5.0,4.21875,3,4.25,5,7.8125,10,3.5
18,46,0,5.0,4.21875,5,4.375,9,8.375,2,3.46875
18,47,0,5.0,4.03125,6,4.125,13,8.0,3,3.625
18,48,0,5.0,4.09375,2,3.90625,3,7.375,6,3.71875
18,49,0,5.0,4.15625,2,3.75,3,7.0,4,4.03125
19,0,0,2.0,0.625,3,3.0625,7,6.9375,1,1.0
19,1,0,2.0,0.90625,4,3.1875,9,7.0,1,1.65625
19,2,0,2.0,1.40625,3,3.375,7,7.4375,3,2.125
19,3,0,2.0,1.5,4,3.5625,9,7.9375,1,2.65625
19,4,0,3.0,1.59375,3,3.59375,5,8.0,3,2.96875
19,5,0,3.0,1.78125,6,4.0625,13,9.125,1,3.09375
19,6,0,2.0,1.78125,4,4.125,9,9.3125,2,3.5625
19,7,0,2.0,2.0,4,4.71875,9,10.8125,3,3.40625
19,8,0,3.0,2.03125,6,5.03125,13,11.75,1,3.34375
19,9,0,3.0,2.03125,6,4.9375,13,11.375,2,3.96875
19,10,0,3.0,1.96875,7,4.96875,13,11.1875,1,3.6875
19,11,0,3.0,2.03125,7,5.25,15,12.1875,3,3.90625
19,12,0,3.0,2.03125,7,5.375,21,12.875,1,4.0
19,13,0,3.0,2.03125,5,5.34375,9,12.6875,1,4.5625
19,14,0,3.0,2.03125,7,5.46875,13,13.25,5,4.1875
19,15,0,3.0,2.03125,7,5.5,21,13.5,1,3.8125
19,16,0,3.0,2.0625,7,5.5,21,13.6875,5,3.84375
19,17,0,3.0,2.09375,7,5.6875,21,14.75,3,3.96875
19,18,0,3.0,2.03125,7,5.90625,13,15.5625,1,4.09375
19,19,0,3.0,2.0625,6,5.8125,17,14.75,2,4.15625
19,20,0,3.0,2.125,6,5.6875,17,14.625,7,4.59375
19,21,0,3.0,2.0625,4,5.875,9,15.125,2,4.625
19,22,0,3.0,2.09375,7,5.875,21,14.625,5,4.875
19,23,0,3.0,2.125,5,5.6875,9,14.1875,2,4.78125
19,24,0,3.0,2.09375,7,5.78125,21,14.375,1,4.5
19,25,0,3.0,2.0625,7,5.5625,13,13.875,16,5.0625
19,26,0,3.0,2.125,7,5.625,21,14.375,1,5.59375
19,27,0,3.0,2.0625,7,5.5625,13,14.375,4,5.125
19,28,0,2.0,2.0,3,5.40625,5,13.1875,2,5.78125
19,29,0,3.0,2.0625,7,5.1875,23,12.5625,3,6.25
19,30,0,3.0,2.0625,6,5.03125,13,11.9375,1,5.96875
19,31,0,3.0,2.03125,6,4.875,13,11.875,2,5.59375
19,32,0,2.0,2.0,5,4.90625,11,11.8125,4,5.4375
19,33,0,2.0,2.0,4,4.8125,11,11.6875,1,5.25
19,34,0,2.0,2.0,7,5.03125,17,12.0625,1,5.4375
19,35,0,2.0,2.0,7,5.0625,17,12.0625,2,5.5625
19,36,0,2.0,2.0,4,5.0,11,11.9375,13,5.59375
19,37,0,2.0,2.0,4,4.875,11,11.625,1,5.625
19,38,0,2.0,2.0,7,4.90625,19,11.6875,3,5.8125
19,39,0,2.0,2.0,4,5.09375,11,12.4375,3,6.0
19,40,0,2.0,2.0,4,4.90625,9,12.0625,1,4.6875
19,41,0,2.0,2.0,6,4.875,19,12.125,3,4.90625
19,42,0,2.0,2.0,4,5.09375,9,12.875,3,5.375
19,43,0,3.0,2.03125,4,5.15625,9,13.375,4,5.15625
19,44,0,2.0,2.0,4,5.25,9,14.125,5,4.625
19,45,0,3.0,2.03125,4,5.34375,9,14.5625,11,4.34375
19,46,0,2.0,2.0,7,5.4375,19,15.4375,3,4.6875
19,47,0,2.0,2.0,6,5.53125,17,15.75,5,4.875
19,48,0,2.0,2.0,6,5.5,21,15.75,1,4.71875
19,49,0,3.0,2.0625,6,5.625,17,16.125,7,5.0
20,0,0,2.0,0.53125,3,3.0625,7,6.9375,1,1.0
20,1,0,2.0,0.90625,4,3.125,9,6.8125,1,1.65625
20,2,0,2.0,1.28125,3,3.21875,5,7.0625,2,2.09375
20,3,0,2.0,1.5625,3,3.34375,7,7.5,2,2.40625
20,4,0,2.0,1.65625,4,3.34375,9,7.4375,4,2.96875
20,5,0,4.0,2.0625,4,3.3125,9,7.0625,3,3.0
20,6,0,3.0,2.0625,4,3.375,9,7.125,2,3.4375
20,7,0,4.0,2.21875,5,3.6875,11,7.9375,1,3.03125
20,8,0,4.0,2.3125,5,3.8125,11,8.25,2,3.34375
20,9,0,4.0,2.34375,4,3.90625,9,8.5,3,3.375
20,10,0,5.0,2.53125,5,3.8125,11,8.4375,2,3.375
20,11,0,4.0,2.65625,5,4.0,11,8.8125,1,3.71875
20,12,0,5.0,2.90625,5,4.1875,13,9.4375,1,3.375
20,13,0,4.0,3.28125,3,4.3125,7,9.6875,7,3.65625
20,14,0,5.0,3.53125,4,4.5625,9,10.0625,7,3.46875
20,15,0,5.0,3.625,5,5.0,11,11.0625,5,3.34375
20,16,0,5.0,3.96875,5,5.15625,11,11.3125,4,2.6875
20,17,0,5.0,4.0,5,5.40625,11,12.3125,4,2.9375
20,18,0,5.0,4.15625,4,5.4375,9,12.875,9,3.15625
20,19,0,5.0,4.1875,5,5.25,11,12.75,3,3.59375
20,20,0,5.0,4.1875,5,5.125,11,12.375,4,3.375
20,21,0,5.0,4.40625,5,5.3125,11,13.375,5,3.5
20,22,0,5.0,4.375,5,5.65625,11,14.3125,6,3.28125
20,23,0,5.0,4.71875,5,5.875,11,15.0625,7,3.5
20,24,0,5.0,4.71875,5,6.21875,11,16.1875,8,2.9375
20,25,0,5.0,5.0,7,6.28125,19,16.375,5,2.84375
20,26,0,5.0,5.0,7,6.25,19,15.875,6,3.09375
20,27,0,5.0,5.0,7,6.125,19,15.875,9,3.09375
20,28,0,5.0,5.0,7,6.21875,19,15.875,5,2.5625
20,29,0,5.0,5.0,7,6.25,15,16.1875,5,2.375
20,30,0,5.0,5.0,6,6.3125,13,16.4375,5,2.53125
20,31,0,5.0,5.0,7,6.34375,21,17.1875,5,2.59375
20,32,0,5.0,5.0,4,6.25,11,17.0625,4,2.125
20,33,0,5.0,5.0,6,6.125,15,17.0625,4,2.15625
20,34,0,5.0,5.0,7,5.9375,25,16.1875,4,2.4375
20,35,0,5.0,5.0,7,5.9375,23,16.1875,4,2.71875
20,36,0,5.0,5.0,7,5.8125,17,15.875,5,2.96875
20,37,0,5.0,5.0,6,5.90625,13,15.875,6,2.9375
20,38,0,5.0,5.0,6,5.6875,15,15.0,6,2.9375
20,39,0,5.0,5.0,4,5.8125,9,15.375,6,3.125
20,40,0,5.0,5.0,7,6.0,15,16.0625,4,2.28125
20,41,0,5.0,5.0,5,5.96875,11,16.3125,5,2.5625
20,42,0,5.0,5.0,4,6.03125,11,17.125,5,2.34375
20,43,0,5.0,5.0,7,6.0625,21,17.6875,4,2.3125
20,44,0,5.0,5.0,6,6.125,21,18.1875,4,2.3125
20,45,0,5.0,5.0,6,6.15625,17,19.0,4,2.28125
20,46,0,5.0,5.0,7,6.40625,21,20.5625,4,2.53125
20,47,0,5.0,5.0,5,6.46875,11,21.0,4,2.15625
20,48,0,5.0,5.0,7,6.53125,23,22.125,4,2.0625
20,49,0,5.0,5.0,7,6.59375,27,22.5,3,1.9375
